DEPARTAMENTO,MUNICIPIO,NUMERO_DEL_PREDIO,NUMERO_DE_ORDEN,TOTAL_REGISTROS,DESTINO_ECONOMICO,AREA_TERRENO,AREA_CONSTRUIDA,AVALUO,VIGENCIA,NUMERO_PREDIAL_ANTERIOR
27,495,0001000000010217000000000,1,1,A,240,0,1641000,1012022,100010217000
27,495,0001000000010218000000000,1,2,A,500,0,3421000,1012022,100010218000
27,495,0001000000010218000000000,2,2,A,500,0,3421000,1012022,100010218000
27,495,0001000000010219000000000,1,1,A,500,0,3421000,1012022,100010219000
27,495,0001000000010220000000000,1,1,A,500,0,3421000,1012022,100010220000
27,495,0001000000010221000000000,1,3,A,500,0,3421000,1012022,100010221000
27,495,0001000000010221000000000,2,3,A,500,0,3421000,1012022,100010221000
27,495,0001000000010221000000000,3,3,A,500,0,3421000,1012022,100010221000
27,495,0001000000010222000000000,1,6,A,500,0,3421000,1012022,100010222000
27,495,0001000000010222000000000,2,6,A,500,0,3421000,1012022,100010222000
27,495,0001000000010222000000000,3,6,A,500,0,3421000,1012022,100010222000
27,495,0001000000010222000000000,4,6,A,500,0,3421000,1012022,100010222000
27,495,0001000000010222000000000,5,6,A,500,0,3421000,1012022,100010222000
27,495,0001000000010222000000000,6,6,A,500,0,3421000,1012022,100010222000
27,495,0001000000010223000000000,1,1,D,20000,0,2072000,1012022,100010223000
27,495,0001000000010224000000000,1,1,A,400,0,1824000,1012022,100010224000
27,495,0001000000010225000000000,1,1,D,3750,0,24987000,1012022,100010225000
27,495,0001000000010226000000000,1,1,A,760,0,5200000,1012022,100010226000
27,495,0001000000010227000000000,1,4,A,500,0,3421000,1012022,100010227000
27,495,0001000000010227000000000,2,4,A,500,0,3421000,1012022,100010227000
27,495,0001000000010227000000000,3,4,A,500,0,3421000,1012022,100010227000
27,495,0001000000010227000000000,4,4,A,500,0,3421000,1012022,100010227000
27,495,0001000000010228000000000,1,1,A,500,0,3421000,1012022,100010228000
27,495,0001000000010229000000000,1,1,A,600,0,4104000,1012022,100010229000
27,495,0001000000010230000000000,1,1,A,150,0,1026000,1012022,100010230000
27,495,0001000000010231000000000,1,1,D,25530,0,2646000,1012022,100010231000
27,495,0001000000010232000000000,1,1,A,800,0,5474000,1012022,100010232000
27,495,0001000000010233000000000,1,3,A,750,0,5131000,1012022,100010233000
27,495,0001000000010233000000000,2,3,A,750,0,5131000,1012022,100010233000
27,495,0001000000010233000000000,3,3,A,750,0,5131000,1012022,100010233000
27,495,0001000000010234000000000,1,1,D,2000,0,5183000,1012022,100010234000
27,495,0001000000010235000000000,1,1,D,24150,0,214535000,1012022,100010235000
27,495,0001000000010236000000000,1,2,D,12946,0,1343000,1012022,100010236000
27,495,0001000000010236000000000,2,2,D,12946,0,1343000,1012022,100010236000
27,495,0001000000010237000000000,1,1,D,1200,0,10659000,1012022,100010237000
27,495,0001000000010238000000000,1,1,D,192000,0,19898000,1012022,100010238000
27,495,0001000000010239000000000,1,1,D,74000,0,138848000,1012022,100010239000
27,495,0001000000010240000000000,1,2,D,12000,0,79951000,1012022,100010240000
27,495,0001000000010240000000000,2,2,D,12000,0,79951000,1012022,100010240000
27,495,0001000000010241000000000,1,1,A,210,0,1436000,1012022,100010241000
27,495,0001000000010242000000000,1,1,D,2000000,0,183741000,1012022,100010242000
27,495,0001000000010243000000000,1,1,D,148500,0,15390000,1012022,100010243000
27,495,0001000000010244000000000,1,1,D,49000,0,64110000,1012022,100010244000
27,495,0001000000010245000000000,1,1,D,1000,0,6663000,1012022,100010245000
